"filename", "language", "C#", "Ini", "MSBuild", "GLSL", "comment", "blank", "total"
"/home/itsdagrizz/Git-Clones/Rendering-Engine/BoxColliderHandler.cs", "C#", 168, 0, 0, 0, 12, 46, 226
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Camera.cs", "C#", 54, 0, 0, 0, 4, 21, 79
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Components/BoxColliderComponent.cs", "C#", 133, 0, 0, 0, 4, 34, 171
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Components/ColliderComponent.cs", "C#", 45, 0, 0, 0, 2, 15, 62
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Components/Component.cs", "C#", 36, 0, 0, 0, 2, 11, 49
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Components/RendererComponent.cs", "C#", 182, 0, 0, 0, 19, 54, 255
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Components/RigidBodyComponent.cs", "C#", 100, 0, 0, 0, 6, 40, 146
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Components/TransformComponent.cs", "C#", 169, 0, 0, 0, 7, 40, 216
"/home/itsdagrizz/Git-Clones/Rendering-Engine/FileHandler.cs", "C#", 280, 0, 0, 0, 14, 104, 398
"/home/itsdagrizz/Git-Clones/Rendering-Engine/GameObjects/Contact.cs", "C#", 14, 0, 0, 0, 0, 8, 22
"/home/itsdagrizz/Git-Clones/Rendering-Engine/GameObjects/GameObject.cs", "C#", 95, 0, 0, 0, 5, 27, 127
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Gui/Panel.cs", "C#", 178, 0, 0, 0, 4, 41, 223
"/home/itsdagrizz/Git-Clones/Rendering-Engine/ImportHandler.cs", "C#", 224, 0, 0, 0, 34, 78, 336
"/home/itsdagrizz/Git-Clones/Rendering-Engine/InputHandler.cs", "C#", 144, 0, 0, 0, 10, 30, 184
"/home/itsdagrizz/Git-Clones/Rendering-Engine/MeshHandler.cs", "C#", 94, 0, 0, 0, 2, 27, 123
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Meshes/CubeMesh.cs", "C#", 50, 0, 0, 0, 8, 14, 72
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Meshes/QuadMesh.cs", "C#", 30, 0, 0, 0, 1, 2, 33
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Meshes/TriangleMesh.cs", "C#", 23, 0, 0, 0, 4, 2, 29
"/home/itsdagrizz/Git-Clones/Rendering-Engine/PhysicsObjectsHandler.cs", "C#", 62, 0, 0, 0, 3, 21, 86
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Program.cs", "C#", 235, 0, 0, 0, 39, 84, 358
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Rendering-Engine.csproj", "MSBuild", 0, 0, 48, 0, 1, 8, 57
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Rendering/DebugLines.cs", "C#", 136, 0, 0, 0, 3, 46, 185
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Rendering/MaterialHandler.cs", "C#", 143, 0, 0, 0, 6, 46, 195
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Rendering/Mesh.cs", "C#", 55, 0, 0, 0, 5, 17, 77
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Rendering/Renderer.cs", "C#", 132, 0, 0, 0, 20, 75, 227
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Rendering/Shader.cs", "C#", 48, 0, 0, 0, 0, 12, 60
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Rendering/Vertex.cs", "C#", 23, 0, 0, 0, 0, 5, 28
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Shaders/debug_lines.frag", "GLSL", 0, 0, 0, 7, 0, 4, 11
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Shaders/debug_lines.vert", "GLSL", 0, 0, 0, 8, 0, 4, 12
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Shaders/simple.frag", "GLSL", 0, 0, 0, 17, 3, 11, 31
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Shaders/simple.vert", "GLSL", 0, 0, 0, 16, 0, 6, 22
"/home/itsdagrizz/Git-Clones/Rendering-Engine/Utilities/UMath.cs", "C#", 91, 0, 0, 0, 1, 23, 115
"/home/itsdagrizz/Git-Clones/Rendering-Engine/imgui.ini", "Ini", 0, 20, 0, 0, 0, 6, 26
"Total", "-", 2944, 20, 48, 48, 219, 962, 4241
